ID,designation_header,strain_number_header,is_type_strain_header,species,domain,Oxygen tolerance,Genome seq. accession number,Genome Sequence associated NCBI tax ID,Genome Sequence database
,,,,,,obligate aerobe,,,
141143,"THG-S11.7, THG-S11-7","KCTC 39607, CCTCC AB 2015297, JCM 31749",1,Nocardioides albidus,Bacteria,aerobe,2902201542,1517589,img
11090,652-48,"DSM 43109, ATCC 27980, CCM 2712, IMET 7807, JCM 3185, NCIB 11454, CCUG 37987, CIP 103451, BCRC 12442, CECT 3302, CGMCC 4.1230, CGMCC 4.1334, IFO 13917, IMSNU 20105, KACC 20014, KCTC 9186, LMG 16326, NBRC 13917, NCIMB 11454, NRRL B-5389, VKM Ac-682, VKM Ac-805",1,Nocardioides albus,Bacteria,aerobe,2824326936,1841,img
,,,,,,obligate aerobe,,,
11116,KSL-1,"DSM 16699, KCTC 19037, JCM 13365, BCRC 16826, CIP 108736",1,Nocardioides alkalitolerans,Bacteria,aerobe,2524614663,1122608,img
,,,,,,obligate aerobe,,,
159868,,"KCTC 49020, CGMCC 4.7457, CFH 30205, DSM 105807",1,Nocardioides allogilvus,Bacteria,aerobe,2855286858,2072017,img
,,,,,,obligate aerobe,,,
11153,Cr7-14,"DSM 23325, CGMCC 1.10697, LMG 26053, JCM 18960",1,Nocardioides alpinus,Bacteria,aerobe,2663762717,748909,img
,,,,,,obligate aerobe,2802429337,748909,img
11117,H-1,"DSM 15131, IAM 14992, JCM 11674, CIP 108782",1,Nocardioides aromaticivorans,Bacteria,obligate aerobe,2734481961,1305622,img
,,,,,,,2833977688,200618,img
132635,B2-12,"DSM 100725, KCTC 39748, NRRL B-65313",1,Nocardioides baekrokdamisoli,Bacteria,aerobe,2843215260,1804624,img
,,,,,,obligate aerobe,,,
133079,,"DSM 29950, KCTC 39551, YIM A1136, JCM 30631",1,Nocardioides cavernae,Bacteria,aerobe,2893570996,1921566,img
,,,,,,obligate aerobe,,,
159744,IB-3,"KACC 19522, JCM 32672",1,Nocardioides currus,Bacteria,aerobe,2834618132,2133958,img
,,,,,,obligate aerobe,,,
11148,MDN22,"DSM 23819, CCUG 57505, KCTC 19601",1,Nocardioides daedukensis,Bacteria,aerobe,2844615251,634462,img
,,,,,,obligate aerobe,,,
11155,MJ31,"DSM 25320, JCM 16922, KCTC 19772",1,Nocardioides daejeonensis,Bacteria,aerobe,2866264325,1046556,img
,,,,,,obligate aerobe,,,
11131,D287,"DSM 18664, CCM 7403, JCM 16608",1,Nocardioides daphniae,Bacteria,aerobe,2841404167,402297,img
,,,,,,obligate aerobe,,,
11143,FR1436,"DSM 22004, JCM 14815, KCTC 19309",1,Nocardioides dokdonensis,Bacteria,aerobe,2751185838,1300347,img
,,,,,,obligate aerobe,,,
11115,JC2055,"DSM 16411, IMSNU 14028, JCM 12124, KCTC 9920, CGMCC 4.6875, CIP 108507, IAM 15306",1,Nocardioides ganghwensis,Bacteria,aerobe,2867498717,252230,img
,,,,,,obligate aerobe,,,
166432,WSJ-1,"KCTC 49117, CCTCC AB 2018027",1,Nocardioides gansuensis,Bacteria,aerobe,2855277504,2138300,img
,,,,,,obligate aerobe,,,
11138,MSL-23,"DSM 19273, KCTC 19274, MSL 23",1,Nocardioides halotolerans,Bacteria,aerobe,2523533541,1122609,img
,,,,,,obligate aerobe,,,
158314,78,"DSM 106424, CGMCC 4.7461",1,Nocardioides houyundeii,Bacteria,aerobe,2775506984,2045452,img
,,,,,,obligate aerobe,,,
141103,FLL521,"KCTC 39931, CCTCC AB 2017083",1,Nocardioides immobilis,Bacteria,aerobe,2834611595,2049295,img
,,,,,,obligate aerobe,,,
11120,DS-51,"DSM 17944, CIP 109626, KCTC 19180, JCM 15308",1,Nocardioides insulae,Bacteria,aerobe,2524614651,1122610,img
,,,,,,obligate aerobe,,,
11124,A2-4,"DSM 19082, CIP 109335, JCM 12609, KCTC 19054, BCRC 16836, KCTC 9995",1,Nocardioides kongjuensis,Bacteria,aerobe,2844818640,349522,img
,,,,,,obligate aerobe,,,
11157,D94-1,"DSM 24663, CGMCC 4.6858, JCM 19667",1,Nocardioides lianchengensis,Bacteria,aerobe,2675903056,1045774,img
,,,,,,obligate aerobe,2844625742,1045774,img
140309,002-2,"DSM 103718, KCTC 39838",0,Nocardioides litoris,Bacteria,aerobe,2902197013,1926648,img
,,,,,,obligate aerobe,,,
11102,939-9,"DSM 43366, ATCC 43052, DSM 43811, IFO 14491, IMET 7830, JCM 3358, NBRC 14491, NCIB 11455, CCUG 37986, CIP 103450, IMSNU 22020, KCTC 9575, LMG 16209, NCIMB 11455, VKM Ac-1246",1,Nocardioides luteus,Bacteria,aerobe,2923421364,1844,img
,,,,,,obligate aerobe,,,
11126,CL-DD14,"DSM 18248, CIP 109596, KCCM 42321, JCM 15615",1,Nocardioides marinus,Bacteria,aerobe,2831307866,374514,img
,,,,,,obligate aerobe,,,
11110,,"DSM 15529, CIP 107017, JCM 10703, KCTC 0457BP, NRRL B-24725, NSP 41",1,Nocardioides nitrophenolicus,Bacteria,obligate aerobe,2734481954,1303688,img
,,,,,,,2893560988,60489,img
11112,,"DSM 16090, NCIMB 14004, BAS 3, JCM 14342, CGMCC 4.6882, CIP 108901, IAM 15341",1,Nocardioides oleivorans,Bacteria,aerobe,2867494351,273676,img
,,,,,,obligate aerobe,,,
158822,THG-T63,"KACC 19192, CGMCC 4.7388",1,Nocardioides pelophilus,Bacteria,aerobe,2921387157,2172019,img
,,,,,,obligate aerobe,,,
23164,"I10A-0142, I10A-01402","DSM 24552, CPCC 203382, KCTC 29022",1,Nocardioides perillae,Bacteria,aerobe,2844622285,1119534,img
,,,,,,obligate aerobe,,,
24251,RHLT2-1,"DSM 27452, CGMCC 1.11156, NBRC 108563, JCM 19668",1,Nocardioides psychrotolerans,Bacteria,aerobe,2663762759,1005945,img
,,,,,,obligate aerobe,,,
11111,OS4,"DSM 15530, CIP 106800, JCM 10369, KCTC 0074BP",1,Nocardioides pyridinolyticus,Bacteria,obligate aerobe,2734481967,1305854,img
130492,Sco-A25,"DSM 23986, KCTC 19805, NBRC 107916",1,Nocardioides rubriscoriae,Bacteria,aerobe,2899979250,642762,img
,,,,,,obligate aerobe,,,
11135,CL-Z59,"DSM 18239, KCCM 42320",1,Nocardioides salarius,Bacteria,aerobe,2893566641,374513,img
,,,,,,obligate aerobe,,,
11144,,"DSM 19263, JCM 19559, KCTC 19271, MSL 01",1,Nocardioides sediminis,Bacteria,aerobe,2866221110,433648,img
,,,,,,obligate aerobe,,,
166421,S-34,"KCTC 49137, CCTCC AB 2018079",1,Nocardioides silvaticus,Bacteria,aerobe,2855273060,2201891,img
,,,,,,obligate aerobe,,,
24250,RHLT1-17,"DSM 27403, CGMCC 1.11147, NBRC 108562, JCM 19669",1,Nocardioides szechwanensis,Bacteria,aerobe,2671180088,1005944,img
,,,,,,obligate aerobe,,,
24248,VA15,"DSM 28109, CGMCC 1.7056, JCM 16799, NBRC 104259",1,Nocardioides terrae,Bacteria,aerobe,2617270786,574651,img
,,,,,,obligate aerobe,,,
140673,,"CCTCC AB 2016296, DSM 103833, YIM 73001, NCCP 696",1,Nocardioides thalensis,Bacteria,aerobe,2856476943,1914755,img
,,,,,,obligate aerobe,,,
11215,"49, SNG49","DSM 44442, JCM 13853, NRRL B-24244, CGMCC 4.2109, NBRC 104164, CIP 108419",1,Nocardiopsis aegyptia,Bacteria,aerobe,2856493217,220378,img
,,,,,,obligate aerobe,,,
11176,,"DSM 40465, ATCC 23612, CBS 693.72, CIP 106424, IFO 13392, INA 6476/62, ISP 5465, KCC S-0717, NBRC 13392, PCM 2490, RIA 1353, JCM 4717, BCRC 15175, BCRC 16386, CGMCC 4.2086, IFM 10203, IMSNU 21332, MTCC 1102, VKM Ac-1882, VKM Ac-1885, DSM 40645",1,Nocardiopsis alborubida,Bacteria,aerobe,2731957597,1223496,img
,,,,,,facultative anaerobe,2896009406,146802,img
,,,,,,obligate aerobe,,,
131849,WS 2,"DSM 44657, CCTCC AA 001031, JCM 12678, YIM 80379, NBRC 104163",1,Nocardiopsis alkaliphila,Bacteria,aerobe,2551306677,1246461,img
,,,,,,obligate aerobe,,,
11240,HM 7,"DSM 45278, CCUG 58831, UTMC 00103",1,Nocardiopsis sinuspersici,Bacteria,aerobe,2856499481,501011,img
,,,,,,obligate aerobe,,,
11222,,"DSM 44844, CCTCC AA 2040015, CIP 109297, KCTC 19008, NBRC 104398, YIM 90109, JCM 15311",1,Nocardiopsis chromatogenes,Bacteria,aerobe,2551306678,1246475,img
,,,,,,obligate aerobe,,,
11201,KS9,"DSM 44551, JCM 11768, NRRL B-24145, BCRC 16374, CGMCC 4.2090, CIP 107461, NBRC 100345, NCIMB 14354, VKM Ac-2521, VTT E-042201",1,Nocardiopsis composta,Bacteria,aerobe,2852736999,157465,img
,,,,,,obligate aerobe,,,
11234,,"DSM 45031, CGMCC 4.3500, HBUM 20038, JCM 15475",1,Nocardiopsis ganjiahuensis,Bacteria,aerobe,2554235030,1237500,img
,,,,,,facultative anaerobe,,,
11218,,"DSM 44841, CCTCC AA 2040012, CIP 109294, KCTC 19006, NBRC 104397, YIM 90087, JCM 15312",1,Nocardiopsis gilva,Bacteria,aerobe,2554235033,1235441,img
,,,,,,obligate aerobe,2773857897,1235441,img
11220,,"DSM 44845, CCTCC AA 2040016, CIP 109298, KCTC 19009, NBRC 104399, YIM 90130, JCM 15310",0,Nocardiopsis halophila,Bacteria,aerobe,2551306672,1236902,img
,,,,,,obligate aerobe,,,
11210,F100,"DSM 44410, JCM 11760, NRRL B-24124, BCRC 16376, CGMCC 4.2084, CIP 107430, NBRC 100347, VKM Ac-2519",1,Nocardiopsis halotolerans,Bacteria,aerobe,2554235027,1246444,img
,,,,,,obligate aerobe,,,
11199,HA-9,"DSM 44524, JCM 10721, KCTC 9831, BCRC 16383, CGMCC 4.2083, CIP 108008, NBRC 100348",1,Nocardiopsis kunsanensis,Bacteria,aerobe,2551306680,1246445,img
,,,,,,facultative anaerobe,,,
11209,114,"DSM 44598, CIP 107788, KBS 6, NRRL B-24159, JCM 12409, BCRC 16377, CGMCC 4.2089, NBRC 101841, VKM Ac-2522",1,Nocardiopsis metallicus,Bacteria,facultative anaerobe,2856454764,179819,img
,,,,,,obligate aerobe,,,
11237,,"DSM 45234, CCUG 56587, IMMIB L-21",1,Nocardiopsis potens,Bacteria,aerobe,2554235031,570268,img
,,,,,,microaerophile,,,
11217,,"DSM 44839, CCTCC AA 204009, KCTC 19003, YIM 90010, JCM 13364, CIP 108478",1,Nocardiopsis salina,Bacteria,aerobe,2551306679,1246485,img
,,,,,,obligate aerobe,,,
11243,,"DSM 45157, CCTCC AA 208011, KCTC 19431, YIM 90022",1,Nocardiopsis terrae,Bacteria,aerobe,2870806736,372655,img
,,,,,,facultative anaerobe,,,
11195,,"DSM 44380, CCRC 12529, CIP 106425, IFO 14201, JCM 3357, NBRC 14201, NRRL 12026, VKM Ac-942, BCRC 12529, CGMCC 4.1174, IFM 0242",1,Nocardiopsis trehalosi,Bacteria,facultative anaerobe,2731957590,1348638,img
,,,,,,obligate aerobe,,,
11235,,"DSM 45023, CGMCC 4.2135, HBUM 20028, JCM 16800",1,Nocardiopsis valliformis,Bacteria,aerobe,2554235029,1246448,img
,,,,,,obligate aerobe,,,
156576,,"CCUG 62919, KCTC 32109",1,Nonlabens arenilitoris,Bacteria,aerobe,2788500454,1217969,img
,,,,,,obligate aerobe,,,
5723,DSW-6,"DSM 17205, KCTC 12402",1,Nonlabens dokdonensis,Bacteria,aerobe,2540341128,592029,img
,,,,,,obligate aerobe,2593339282,328515,img
134174,CKA-5,"NBRC 100970, LMG 23247",1,Nonlabens tegetincola,Bacteria,aerobe,2772190784,319236,img
,,,,,,obligate aerobe,,,
134161,UST030701-156,"NRRL B-41138, JCM 13191",1,Nonlabens spongiae,Bacteria,aerobe,2751185769,331648,img
,,,,,,obligate aerobe,,,
5725,PLR,"DSM 22727, CIP 110082",1,Nonlabens ulvanivorans,Bacteria,obligate aerobe,2593339289,906888,img
,,,,,,,2617271264,906888,img
5724,SW256,"DSM 16809, NCIMB 14027",1,Nonlabens xylanidelens,Bacteria,aerobe,2593339281,191564,img
,,,,,,obligate aerobe,,,
16564,5-38-42,"DSM 45129, CIP 109641, JCM 13931, MTCC 8090, CGMCC 4.5722",1,Nonomuraea coxensis,Bacteria,aerobe,2515154141,1122611,img
,,,,,,obligate aerobe,,,
158929,KC310,"DSM 102919, CGMCC 4.7331, KCTC 39774",1,Nonomuraea deserti,Bacteria,aerobe,2866762431,1848322,img
,,,,,,obligate aerobe,,,
159579,KC712,"DSM 102925, CGMCC 4.7334, KCTC 39776",1,Nonomuraea diastatica,Bacteria,aerobe,2866772972,1848329,img
,,,,,,obligate aerobe,,,
132378,,"DSM 100948, ATCC 39727",1,Nonomuraea gerenzanensis,Bacteria,aerobe,651716751,93944,img
16573,A4036,"DSM 45507, KCTC 19870",1,Nonomuraea jabiensis,Bacteria,aerobe,2870526370,882448,img
,,,,,,obligate aerobe,,,
159166,KC201,"DSM 102917, CGMCC 4.7339, KCTC 39781",1,Nonomuraea longispora,Bacteria,aerobe,2866664766,1848320,img
,,,,,,obligate aerobe,,,
24634,FMN03,"DSM 45913, JCM 31211, KCTC 29233",1,Nonomuraea muscovyensis,Bacteria,aerobe,2863215697,1124761,img
,,,,,,obligate aerobe,,,
164452,PA1-10,"JCM 33073, NBRC 112774, TISTR 2497",1,Nonomuraea phyllanthi,Bacteria,aerobe,2895442618,2219224,img
,,,,,,obligate aerobe,,,
16539,"A-118, A3, KCCA-0144","DSM 43357, ATCC 27296, CBS 262.72, IFO 14684, KCC A-0144, NBRC 14684, NCIMB 11116, JCM 3144, BCRC 11619, CECT 3284, CIP 106954, IMET 9586, IMSNU 20095, KCTC 9278, MTCC 1121, NBIMCC 1641, NRRL B-16126, VKM Ac-1508",1,Nonomuraea pusilla,Bacteria,obligate aerobe,2599185218,46177,img
16544,,"DSM 43768, ATCC 27031, CBS 132.76, DSM 43897, IFO 14070, IMET 8181, JCM 3234, KCC A-0234, NBRC 14070, VKM Ac-615, JCM 3389, BCRC 12591, CGMCC 4.5715, CIP 107008, IFO 14686, IMSNU 20099, INA 325, KCTC 9284, NBRC 14686, NRRL B-16083",1,Nonomuraea rubra,Bacteria,obligate aerobe,2870609773,46180,img
16556,NEAU-Z6,"DSM 45729, CGMCC 4.7037, JCM 30783",1,Nonomuraea solani,Bacteria,aerobe,2675903140,1144553,img
,,,,,,obligate aerobe,,,
164685,CH32,"JCM 33876, KCTC 49368",1,Nonomuraea terrae,Bacteria,aerobe,2866783905,2530383,img
,,,,,,obligate aerobe,,,
158158,KC-061,"DSM 46694, JCM 18408, KCTC 29074, PCU 327",1,Nonomuraea thailandensis,Bacteria,aerobe,2872728642,1188745,img
,,,,,,obligate aerobe,,,
14681,TRF-1,"DSM 19163, CIP 109506, LMG 24060, UCCCB22",1,Nosocomiicoccus ampullae,Bacteria,aerobe,2861585789,489910,img
,,,,,,obligate aerobe,,,
140696,XMTR2A4,"MCCC 1A01882, KCTC 52427",1,Notoacmeibacter marinus,Bacteria,aerobe,2786546837,1876515,img
,,,,,,obligate aerobe,,,
24269,JC206,"DSM 25712, CSUR P159",1,Noviherbaspirillum massiliense,Bacteria,aerobe,2547132156,1095769,img
24271,PB1,"DSM 26001, LMG 27282",1,Noviherbaspirillum psychrotolerans,Bacteria,aerobe,2706794918,1224511,img
,,,,,,facultative anaerobe,,,
138248,Giesberger,"CIP 105798, ATCC 12639, NCIMB 9070, NRRL B-2053, JCM 21278, CCUG 13727, IAM 14720, IAM 15031, IFO 15648, JCM 21494, LMG 4337, NBRC 15648",1,Novispirillum itersonii,Bacteria,obligate aerobe,2519899638,1279038,img
13940,,"DSM 11590, ATCC 33333, IFO 13615, NBRC 13615, CCUG 49448, IAM 14945, LMG 7370, JCM 21427, CIP 107759",1,Novispirillum itersonii subsp. nipponicum,Bacteria,aerobe,2828310345,189,img
,,,,,,obligate aerobe,,,
14164,FSW 06-204d,"DSM 19966, CCM 7496, CCUG 55538",1,Novosphingobium acidiphilum,Bacteria,aerobe,2523533537,1122612,img
,,,,,,obligate aerobe,,,
23265,LL02,"DSM 25411, CCM 7980",1,Novosphingobium barchaimii,Bacteria,aerobe,2654587500,1114963,img
,,,,,,obligate aerobe,,,
14144,28,"DSM 30196, ATCC 14666, GIFU 11526, IAM 14271, IFO 12533, JCM 7508, NBRC 12533, NCIB 9890, JCM 7452, BCRC 10676, CCM 2832, CCUG 17697, CCUG 31202, CECT 4388, CIP 82.103, LMG 2830, NCIMB 9890, VKM B-1564, VTT E-91059, KCTC 22844",1,Novosphingobium capsulatum,Bacteria,aerobe,2681812976,1219042,img
,,,,,,obligate aerobe,,,
140632,UCM-28,"KACC 18571, NBRC 111647",1,Novosphingobium flavum,Bacteria,obligate aerobe,2921278680,1778672,img
23266,FNE08-7,"DSM 25065, CCM 7978, CCUG 61508",1,Novosphingobium fuchskuhlense,Bacteria,aerobe,2775506978,1117702,img
23267,,"DSM 25409, CCM 7976, LE 124",0,Novosphingobium lindaniclasticum,Bacteria,aerobe,2558860244,1096930,img
,,,,,,obligate aerobe,,,
14162,SM117,"DSM 23374, CCM 7473, MTCC 9020",1,Novosphingobium mathurense,Bacteria,aerobe,2706795032,428990,img
,,,,,,obligate aerobe,,,
14156,TUT562,"CCUG 56309, DSM 18518, JCM 13951, NBRC 10251, NBRC 102051",1,Novosphingobium naphthalenivorans,Bacteria,aerobe,2731957632,1219034,img
,,,,,,obligate aerobe,,,
14157,Y88,"DSM 19370, ICMP 16470, CCUG 56310",1,Novosphingobium nitrogenifigens,Bacteria,aerobe,2515154075,983920,img
,,,,,,,651324078,983920,img
14163,SM16,"DSM 22890, CCM 7472, MTCC 9019",1,Novosphingobium panipatense,Bacteria,aerobe,2706794921,428991,img
,,,,,,obligate aerobe,,,
14152,US6-1,"CCUG 56449, CIP 108548, DSM 17173, JCM 12182, KCTC 10454, NCIMB 14244",1,Novosphingobium pentaromativorans,Bacteria,aerobe,2608642102,1088721,img
,,,,,,facultative anaerobe,2806310700,1088721,img
,,,,,,obligate aerobe,,,
140899,SLH-16,"BCRC 80888, LMG 28418, KCTC 42194",1,Novosphingobium piscinae,Bacteria,aerobe,2921275117,1507448,img
,,,,,,obligate aerobe,,,
14161,KF1,"DSM 10700, CIP 105288, IFO 16058, NBRC 16058, CCUG 56303, JCM 12332, IAM 15327, JCM 10398",0,Novosphingobium resinovorum,Bacteria,aerobe,2576861780,158500,img
,,,,,,obligate aerobe,,,
23264,HU1-AH51,"DSM 27057, KCTC 22311, LMG 24320",1,Novosphingobium sediminicola,Bacteria,aerobe,2829917985,563162,img
,,,,,,obligate aerobe,,,
14155,T3-B9,"DSM 17507, AS 1.3432, JCM 12465, CCUG 56308, BCRC 80740, CGMCC 1.3432, CIP 108789",1,Novosphingobium taihuense,Bacteria,aerobe,2596583548,260085,img
,,,,,,facultative anaerobe,2828632817,260085,img
,,,,,,obligate aerobe,,,
14280,"SW150, SW-150","DSM 16222, KCTC 12231, CIP 108792",1,Novosphingopyxis baekryungensis,Bacteria,aerobe,2524614570,1123270,img
4990,42,"DSM 2777, ATCC 12841, NCIB 8771, CCUG 2078, CIP 82.93, LMG 3054, NCIMB 8771",1,Obesumbacterium proteus,Bacteria,aerobe,2687453374,82983,img
,,,,,,facultative anaerobe,2802429663,1354268,img
132595,B4199,"DSM 100830, CCUG 67636",1,Thiopseudomonas alkaliphila,Bacteria,aerobe,2657244959,1697053,img
,,,,,,microaerophile,,,
,,,,,,obligate aerobe,,,
158573,L54-1-50,"KCTC 52312, MCCC 1A05150",1,Oceanibaculum nanhaiense,Bacteria,aerobe,2791354911,1909734,img
,,,,,,obligate aerobe,,,
24525,CLW,"DSM 24423, CGMCC 1.10808, LMG 26245, MCCC 1A06272",0,Oceanicella actignis,Bacteria,aerobe,2615840710,1189325,img
,,,,,,obligate aerobe,2663762749,1189325,img
141105,1-19b,"MCCC 1A11863, KCTC 52709",1,Oceaniglobus indicus,Bacteria,aerobe,2788500143,2047749,img
,,,,,,obligate aerobe,,,
132996,S9-10,"DSM 28133, CGMCC 1.12628, LMG 28074",1,Oceanihabitans sediminis,Bacteria,aerobe,2770939504,1812012,img
,,,,,,,2833729168,1812012,img
290,GB6,"DSM 15594, ATCC 700832, KCTC 12927, NCIMB 13685, CIP 107717",1,Oceanimonas baumannii,Bacteria,obligate aerobe,2593339295,129578,img
289,70,"DSM 7028, ATCC 27123, IAM 14168, JCM 21046, CCUG 12373, CCUG 16001, CIP 74.09, DSM 50408, ICPB 3526, LMG 2180, NBRC 103032, NCIMB 1965, CIP 74.9",1,Oceanimonas doudoroffii,Bacteria,obligate aerobe,2506520053,84158,img
159645,102-Na3,"DSM 106032, JCM 32358, KCTC 62271",1,Oceanimonas marisflavi,Bacteria,aerobe,2881423808,2059724,img
164179,StC1,"JCM 32050, KACC 19231",1,Oceaniradius stylonematis,Bacteria,aerobe,2882483387,2184161,img
291,R5,"DSM 15406, CIP 108812, KCTC 23479, KMM 3654",1,Oceanisphaera litoralis,Bacteria,obligate aerobe,2861657729,225144,img
16712,506,DSM 14977,1,Oceanithermus profundus,Bacteria,microaerophile,649633077,670487,img
1377,S-11,"DSM 21910, CCUG 53534, CIP 109363, KCTC 13061",1,Oceanobacillus caeni,Bacteria,aerobe,2901076836,405946,img
,,,,,,facultative anaerobe,,,
,,,,,,obligate aerobe,,,
132449,J8B,"DSM 23996, IBRC-M 10444",1,Oceanobacillus halophilus,Bacteria,obligate aerobe,2840770658,930130,img
166101,,"CGMCC 1.17002, KCTC 43140, YIM 98839",1,Oceanobacillus halotolerans,Bacteria,aerobe,2894978065,2663380,img
,,,,,,obligate aerobe,,,
1380,A1g,"DSM 24772, CGMCC 1.7693, JCM 15776, BCRC 80658, KCTC 13886",1,Oceanobacillus neutriphilus,Bacteria,aerobe,2901131393,531815,img
133964,SA9,"JCM 17252, NCIMB 14684, DSM 107338, BCRC 80661",1,Oceanobacillus polygoni,Bacteria,facultative anaerobe,2894984523,1235259,img
,,,,,,obligate aerobe,2913595076,1235259,img
1376,CL-MP28,"DSM 18246, CIP 109535, KCCM 42318, KCTC 13625",1,Oceanobacillus profundus,Bacteria,aerobe,2834368228,372463,img
,,,,,,obligate aerobe,,,
18136,Oct-74,"DSM 24906, JCM 15580, LMG 24865",1,Oceanotoga teriensis,Bacteria,anaerobe,2756170248,515440,img
,,,,,,facultative anaerobe,,,
1878,,"DSM 6882, Alc 37, ATCC 49188, CIP 149-70, CIP 82.115, LMG 3331, JCM 21032, CCUG 24695, CIP 149.70, IAM 14119, IFO 15819, NBRC 15819, NCTC 12168",1,Brucella anthropi,Bacteria,aerobe,640753038,439375,img
,,,,,,obligate aerobe,,,
12521,,"DSM 22474, JCM 16069, YIT 12061, KCTC 15133",1,Odoribacter laneus,Bacteria,anaerobe,2513237280,742817,img
12520,1651/6,"DSM 20712, ATCC 29572, CCUG 21054, CIP 104287, LMG 8202, NCTC 10825, CCUG 21054 A, CCM 6029, JCM 15291",1,Odoribacter splanchnicus,Bacteria,anaerobe,2773857890,28118,img
,,,,,,,649633078,709991,img
6813,,"DSM 17330, JCM 13282, NRIC 0645, CIP 109430",1,Oenococcus kitaharae,Bacteria,aerobe,2524614648,1045004,img
,,,,,,facultative anaerobe,2597489884,1045004,img
,,,,,,microaerophile,,,
2380,DFA-19,"DSM 43852, ATCC 35307, HMGB B 1078, IFO 14295, IMET 7687, JCM 7350, NBRC 14295, NRRL B-16223, CCUG 47127, CIP 107637, IAM 14864, JCM 21363, VKM Ac-1048, VTT E-072708",1,Oerskovia enterophila,Bacteria,aerobe,2681812870,43678,img
,,,,,,facultative anaerobe,2833465287,43678,img
,,,,,,obligate aerobe,,,
2382,377-78,"DSM 46000, CIP 100330, IMET 7006, CCUG 47142, JCM 9969, CCM 4094, IFO 15012, LMG 16191, NBRC 15012",1,Oerskovia jenensis,Bacteria,aerobe,2892702859,162169,img
,,,,,,facultative anaerobe,,,
,,,,,,obligate aerobe,,,
2381,,"CCUG 47105, CIP 108256, DSM 14281, IMET 7003, JCM 11755, LMG 20385, NBRC 106154",1,Oerskovia paurometabola,Bacteria,aerobe,2893546927,162170,img
,,,,,,facultative anaerobe,,,
133086,SM 30,"DSM 102969, NBRC 111955",1,Oharaeibacter diazotrophicus,Bacteria,aerobe,2788499818,1920512,img
,,,,,,obligate aerobe,,,
18139,3B-2,"DSM 25262, CCUG 58939, KCTC 23018",1,Ohtaekwangia koreensis,Bacteria,aerobe,2595698225,688867,img
,,,,,,obligate aerobe,,,
18140,10AO,"DSM 25221, CCUG 58938, KCTC 23019",1,Ohtaekwangia kribbensis,Bacteria,aerobe,2596583624,688913,img
140605,3.5X,"NBRC 110685, KCTC 42351, CPCC 100614, DSM 107085",1,Oleiagrimonas soli,Bacteria,aerobe,2861226885,1543381,img
,,,,,,obligate aerobe,,,
11298,2O1,"DSM 24913, BTCC B-675, NBRC 105760, CIP 110300",1,Thalassolituus maritimus,Bacteria,aerobe,2681813515,484498,img
4150,AL1,"DSM 16109, NCIMB 13491",1,Oleidesulfovibrio alaskensis,Bacteria,anaerobe,2528311093,1121436,img
,,,,,,obligate aerobe,,,
4123,G3 100,"DSM 10520, JCM 15785",1,Oleidesulfovibrio vietnamensis,Bacteria,anaerobe,2574179706,1121466,img
11299,ME102,"DSM 13489, LMG 20357, CIP 107588",1,Oleiphilus messinensis,Bacteria,obligate aerobe,2634166903,141451,img
,,,,,,,2773857794,141451,img
356,C379,"DSM 18253, ATCC 43534, CCM 4583, CCUG 1465Aa, CDC C379, CIP 103114, LMG 6519, NCTC 11997, CCUG 1465 A, CCUG 1465",1,Oligella ureolytica,Bacteria,microaerophile,2515154154,1122619,img
,,,,,,,2808606647,90244,img
355,"MC213, MC 213","DSM 7531, ATCC 17960, CCUG 13463, LMG 5303, CDC 7603, JCM 20913, CCUG 37823, CIP 103116, IAM 13553, IFO 14589, LMG 1015, NBRC 14589, NCTC 12964, NCTC 744, USCC 1441",1,Oligella urethralis,Bacteria,aerobe,2515154022,1122620,img
,,,,,,obligate aerobe,2839505685,90245,img
23458,8KG-4,"DSM 24202, JCM 17152, CGMCC 1.5160, KCTC 15378",1,Oligosphaera ethanolica,Bacteria,anaerobe,2927555367,760260,img
14138,DC-186,"DSM 18733, CCUG 54353, LMG 23837, CIP 109620",1,Olivibacter domesticus,Bacteria,aerobe,2599185177,407022,img
,,,,,,obligate aerobe,,,
14091,AW-6,"DSM 17696, CECT 7133",1,Olivibacter sitiensis,Bacteria,aerobe,2515154027,1122621,img
5727,L-4,"DSM 24464, CCUG 58074, KCTC 22661",1,Olleya aquimaris,Bacteria,aerobe,2593339297,639310,img
,,,,,,obligate aerobe,,,
24049,WT-MY15,"DSM 28881, CCUG 61507, KCTC 23673",1,Olleya namhaensis,Bacteria,aerobe,2693429874,1144750,img
,,,,,,obligate aerobe,,,
3060,D315A-29,"CIP 106885, JCM 14553, DSM 13989, CCUG 45371, KCTC 15029",1,Olsenella profusa,Bacteria,anaerobe,2923489329,997349,img
,,,,,,obligate anaerobe,,,
3059,D76D-27C,"DSM 7084, ATCC 49627, CIP 109912, CCUG 31166, JCM 12494, VPI D76D-27C, LMG 11480, NCFB 2895, NCIMB 702895",1,Olsenella uli,Bacteria,anaerobe,2846506661,633147,img
,,,,,,obligate anaerobe,648028047,633147,img
3062,lac31,"DSM 22620, CCUG 58604, JCM 16156, KCTC 15140",1,Olsenella umbonata,Bacteria,anaerobe,2636416177,604330,img
,,,,,,obligate anaerobe,,,
3061,A2,"DSM 22619, CCUG 58212, JCM 16157",0,Olsenella umbonata,Bacteria,anaerobe,2606217797,604330,img
