"accession","checkm2_completeness","checkm2_contamination","checkm_completeness","checkm_contamination","gc_percentage","genome_size","gtdb_representative","gtdb_taxonomy","Domain","Phylum","Class","Order","Family","Genus","Species","ncbi_assembly_level","ncbi_country","ncbi_genbank_assembly_accession","ncbi_genome_category","ncbi_isolation_source","ncbi_refseq_category","ncbi_species_taxid","ncbi_taxid","Oxygen.tolerance","Oxygen2"
"RS_GCF_000175175.1",100,0.02,99.73,0.06,32.8018475849596,2425653,FALSE,"d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus warneri_A","d__Bacteria","p__Bacillota","c__Bacilli","o__Staphylococcales","f__Staphylococcaceae","g__Staphylococcus","s__Staphylococcus warneri_A","Contig","none","GCA_000175175.1","none","biological product [ENVO:02000043]","na",1292,596319,"facultative anaerobe","facultative"
"RS_GCF_002732165.1",99.99,0,99.44,1.39,32.667439187734,2734769,TRUE,"d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus xylosus","d__Bacteria","p__Bacillota","c__Bacilli","o__Staphylococcales","f__Staphylococcaceae","g__Staphylococcus","s__Staphylococcus xylosus","Contig","USA: Raleigh","GCA_002732165.1","none","skin","na",1288,1288,"facultative anaerobe","facultative"
"RS_GCF_002901995.1",99.99,0,99.43,0.57,35.8353418733631,2443567,TRUE,"d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus coagulans","d__Bacteria","p__Bacillota","c__Bacilli","o__Staphylococcales","f__Staphylococcaceae","g__Staphylococcus","s__Staphylococcus coagulans","Scaffold","Germany: Braunschweig","GCA_002901995.1","none","External auditory meatus with external ear otitis","na",74706,74706,"facultative anaerobe","facultative"
"RS_GCF_002901925.1",99.99,0.03,99.81,0.08,32.9012006521901,2468245,FALSE,"d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus capitis","d__Bacteria","p__Bacillota","c__Bacilli","o__Staphylococcales","f__Staphylococcaceae","g__Staphylococcus","s__Staphylococcus capitis","Scaffold","Germany: Braunschweig","GCA_002901925.1","none","skin","na",29388,74703,"facultative anaerobe","facultative"
"RS_GCF_002902235.1",100,0.12,99.45,0.14,32.5002902828291,2670427,TRUE,"d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus ureilyticus","d__Bacteria","p__Bacillota","c__Bacilli","o__Staphylococcales","f__Staphylococcaceae","g__Staphylococcus","s__Staphylococcus ureilyticus","Scaffold","Germany: Braunschweig","GCA_002902235.1","none","skin","na",94138,94138,"facultative anaerobe","facultative"
"RS_GCF_002901905.1",99.91,0.18,98.86,0,37.3206794708373,2049263,FALSE,"d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus muscae","d__Bacteria","p__Bacillota","c__Bacilli","o__Staphylococcales","f__Staphylococcaceae","g__Staphylococcus","s__Staphylococcus muscae","Scaffold","Germany: Braunschweig","GCA_002901905.1","none","body surface","na",1294,1294,"facultative anaerobe","facultative"
"RS_GCF_007992655.1",100,0.1,99.45,1.24,36.5506733985721,2563712,FALSE,"d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus piscifermentans","d__Bacteria","p__Bacillota","c__Bacilli","o__Staphylococcales","f__Staphylococcaceae","g__Staphylococcus","s__Staphylococcus piscifermentans","Contig","none","GCA_007992655.1","none","none","na",70258,70258,"facultative anaerobe","facultative"
"RS_GCF_002101335.1",99.99,0.2,98.86,1.14,37.7309360214597,2533115,TRUE,"d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus lutrae","d__Bacteria","p__Bacillota","c__Bacilli","o__Staphylococcales","f__Staphylococcaceae","g__Staphylococcus","s__Staphylococcus lutrae","Complete Genome","United Kingdom: Scotland; Isle of Skye; Inner Hebrides","GCA_002101335.1","none","mammary gland; supra mammary lymph node","representative genome",155085,155085,"facultative anaerobe","facultative"
"RS_GCF_003970495.1",99.99,0.03,99.17,0.02,31.4035555761295,2462952,TRUE,"d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus pasteuri","d__Bacteria","p__Bacillota","c__Bacilli","o__Staphylococcales","f__Staphylococcaceae","g__Staphylococcus","s__Staphylococcus pasteuri","Scaffold","Germany: Braunschweig","GCA_003970495.1","none","vomit","na",45972,45972,"facultative anaerobe","facultative"
"RS_GCF_000010125.1",99.98,0,99.44,0,33.185939402591,2577899,TRUE,"d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus saprophyticus","d__Bacteria","p__Bacillota","c__Bacilli","o__Staphylococcales","f__Staphylococcaceae","g__Staphylococcus","s__Staphylococcus saprophyticus","Complete Genome","none","GCA_000010125.1","none","none","representative genome",29385,342451,"facultative anaerobe","facultative"
"RS_GCF_001046995.1",99.96,0.07,99.45,2.39,32.5355222324706,2789591,FALSE,"d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Mammaliicoccus;s__Mammaliicoccus sciuri","d__Bacteria","p__Bacillota","c__Bacilli","o__Staphylococcales","f__Staphylococcaceae","g__Mammaliicoccus","s__Mammaliicoccus sciuri","Contig","USA","GCA_001046995.1","none","the skin of squirrel","na",1296,1296,"facultative anaerobe","facultative"
"RS_GCF_001014685.1",99.99,0.09,98.9,1.8,34.569566091552,2616174,FALSE,"d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus condimenti","d__Bacteria","p__Bacillota","c__Bacilli","o__Staphylococcales","f__Staphylococcaceae","g__Staphylococcus","s__Staphylococcus condimenti","Contig","Germany","GCA_001014685.1","none","soy sauce mash","na",70255,70255,"facultative anaerobe","facultative"
"RS_GCF_002902605.1",99.87,0.52,98.78,1.57,34.4099920437737,2622255,FALSE,"d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus carnosus","d__Bacteria","p__Bacillota","c__Bacilli","o__Staphylococcales","f__Staphylococcaceae","g__Staphylococcus","s__Staphylococcus carnosus","Scaffold","Germany: Braunschweig","GCA_002902605.1","none","Fermented fish sauce","na",1281,1281,"facultative anaerobe","facultative"
"RS_GCF_002901845.1",99.99,0.04,99.24,0.02,31.377963670716,2204528,TRUE,"d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus hominis","d__Bacteria","p__Bacillota","c__Bacilli","o__Staphylococcales","f__Staphylococcaceae","g__Staphylococcus","s__Staphylococcus hominis","Scaffold","United Kingdom: London","GCA_002901845.1","none","skin","na",1290,145391,"facultative anaerobe","facultative"
"GB_GCA_002902445.1",99.99,0.14,99.45,1.38,33.0403570887445,2871374,FALSE,"d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus succinus","d__Bacteria","p__Bacillota","c__Bacilli","o__Staphylococcales","f__Staphylococcaceae","g__Staphylococcus","s__Staphylococcus succinus","Scaffold","Germany: Braunschweig","GCA_002902445.1","none","Swiss surface-ripened cheese","na",201828,201828,"facultative anaerobe","facultative"
"RS_GCF_002902465.1",100,0.08,99.38,0.57,31.3920441644077,2422390,FALSE,"d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus hominis","d__Bacteria","p__Bacillota","c__Bacilli","o__Staphylococcales","f__Staphylococcaceae","g__Staphylococcus","s__Staphylococcus hominis","Scaffold","Sweden: Gothenburg","GCA_002902465.1","none","blood","na",1290,145393,"facultative anaerobe","facultative"
"RS_GCF_003970525.1",99.97,0.36,98.9,1.1,32.4774291686492,2507841,FALSE,"d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Mammaliicoccus;s__Mammaliicoccus vitulinus","d__Bacteria","p__Bacillota","c__Bacilli","o__Staphylococcales","f__Staphylococcaceae","g__Mammaliicoccus","s__Mammaliicoccus vitulinus","Scaffold","Germany: Braunschweig","GCA_003970525.1","none","hip infection","na",71237,71237,"facultative anaerobe","facultative"
"RS_GCF_002902265.1",99.99,0.2,98.9,1.1,32.5410037955806,2595808,FALSE,"d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Mammaliicoccus;s__Mammaliicoccus vitulinus","d__Bacteria","p__Bacillota","c__Bacilli","o__Staphylococcales","f__Staphylococcaceae","g__Mammaliicoccus","s__Mammaliicoccus vitulinus","Scaffold","Germany: Braunschweig","GCA_002902265.1","none","Ground lamb","na",71237,71237,"facultative anaerobe","facultative"
"RS_GCF_002902545.1",99.99,0.03,99.44,0.56,32.986739021643,2709959,FALSE,"d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus saprophyticus","d__Bacteria","p__Bacillota","c__Bacilli","o__Staphylococcales","f__Staphylococcaceae","g__Staphylococcus","s__Staphylococcus saprophyticus","Scaffold","Sweden: Gothenburg","GCA_002902545.1","none","nostril","na",29385,29385,"facultative anaerobe","facultative"
"RS_GCF_002902685.1",99.99,0.01,98.9,2.35,38.9143715940471,2455272,TRUE,"d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus pettenkoferi","d__Bacteria","p__Bacillota","c__Bacilli","o__Staphylococcales","f__Staphylococcaceae","g__Staphylococcus","s__Staphylococcus pettenkoferi","Scaffold","Sweden: Gothenburg","GCA_002902685.1","none","blood","na",170573,170573,"facultative anaerobe","facultative"
"RS_GCF_002902145.1",99.98,0.18,98.86,0.14,38.4381701825887,2341022,TRUE,"d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus rostri","d__Bacteria","p__Bacillota","c__Bacilli","o__Staphylococcales","f__Staphylococcaceae","g__Staphylococcus","s__Staphylococcus rostri","Scaffold","Germany: Braunschweig","GCA_002902145.1","none","nasal cavity","representative genome",522262,522262,"facultative anaerobe","facultative"
"RS_GCF_002902625.1",99.95,0.02,99.38,0.18,33.2702344630762,2379883,TRUE,"d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus devriesei","d__Bacteria","p__Bacillota","c__Bacilli","o__Staphylococcales","f__Staphylococcaceae","g__Staphylococcus","s__Staphylococcus devriesei","Scaffold","Sweden: Gothenburg","GCA_002902625.1","none","Teat apex","na",586733,586733,"facultative anaerobe","facultative"
"RS_GCF_002901865.1",99.92,0.15,99.43,0.76,35.628411527682,2491359,TRUE,"d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus agnetis","d__Bacteria","p__Bacillota","c__Bacilli","o__Staphylococcales","f__Staphylococcaceae","g__Staphylococcus","s__Staphylococcus agnetis","Scaffold","Germany: Braunschweig","GCA_002901865.1","none","mastitic milk","na",985762,985762,"facultative anaerobe","facultative"
"RS_GCF_000269925.1",100,0.06,100,0,38.8268504488151,1950135,FALSE,"d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus garvieae","d__Bacteria","p__Bacillota","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Lactococcus","s__Lactococcus garvieae","Complete Genome","none","GCA_000269925.1","none","none","na",1363,420889,"facultative anaerobe","facultative"
"RS_GCF_000739975.1",99.99,0.19,100,0.19,38.5255123371091,2028352,FALSE,"d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus garvieae","d__Bacteria","p__Bacillota","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Lactococcus","s__Lactococcus garvieae","Contig","none","GCA_000739975.1","none","none","na",1363,1223498,"facultative anaerobe","facultative"
"RS_GCF_000534815.1",99.95,0.4,99.62,0.38,35.5878895337668,2269509,FALSE,"d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus cremoris","d__Bacteria","p__Bacillota","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Lactococcus","s__Lactococcus cremoris","Contig","New Zealand: Manawatu","GCA_000534815.1","none","mixed strain dairy starter culture","na",1359,1295827,"facultative anaerobe","facultative"
"GB_GCA_000615405.1",100,1.37,99.62,0.57,35.226194824462,2527003,FALSE,"d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus lactis","d__Bacteria","p__Bacillota","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Lactococcus","s__Lactococcus lactis","Contig","none","GCA_000615405.1","none","none","na",1358,1236944,"facultative anaerobe","facultative"
"RS_GCF_001591745.1",100,0.1,98.49,0.88,36.7283643186772,1977763,FALSE,"d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus_A;s__Lactococcus_A plantarum","d__Bacteria","p__Bacillota","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Lactococcus_A","s__Lactococcus_A plantarum","Contig","none","GCA_001591745.1","none","none","representative genome",1365,1348632,"facultative anaerobe","facultative"
"RS_GCF_002441885.1",99.99,0.14,98.11,0.13,38.6693267665898,2203491,TRUE,"d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus_A;s__Lactococcus_A chungangensis","d__Bacteria","p__Bacillota","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Lactococcus_A","s__Lactococcus_A chungangensis","Scaffold","South Korea","GCA_002441885.1","none","foam sample taken from an activated sludge wastewater treatment plant","representative genome",451457,1122154,"facultative anaerobe","facultative"
"RS_GCF_000186445.1",99.99,0.23,99.47,0,35.2643409467233,2287892,TRUE,"d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus agalactiae","d__Bacteria","p__Bacillota","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Streptococcus","s__Streptococcus agalactiae","Scaffold","none","GCA_000186445.1","none","oral cavity","na",1311,888745,"facultative anaerobe","facultative"
"RS_GCF_000323085.1",100,0.44,100,0.18,35.4619311482652,2168689,FALSE,"d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus agalactiae","d__Bacteria","p__Bacillota","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Streptococcus","s__Streptococcus agalactiae","Contig","none","GCA_000323085.1","none","none","na",1311,1154862,"facultative anaerobe","facultative"
"GB_GCA_000967445.1",99.99,0.17,99.65,0.06,35.4735279930522,1838867,FALSE,"d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus agalactiae","d__Bacteria","p__Bacillota","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Streptococcus","s__Streptococcus agalactiae","Complete Genome","none","GCA_000967445.1","none","none","na",1311,1311,"facultative anaerobe","facultative"
"RS_GCF_000214555.1",99.77,0.03,99.56,0,38.6535305165014,1892386,FALSE,"d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus anginosus","d__Bacteria","p__Bacillota","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Streptococcus","s__Streptococcus anginosus","Contig","none","GCA_000214555.2","none","biological product [ENVO:02000043]","na",1328,1000570,"facultative anaerobe","facultative"
"RS_GCF_000747195.1",100,0.05,100,0,37.1765414872767,1841890,FALSE,"d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus equinus","d__Bacteria","p__Bacillota","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Streptococcus","s__Streptococcus equinus","Contig","none","GCA_000747195.1","none","cow dung","na",1335,1210006,"facultative anaerobe","facultative"
"RS_GCF_000268305.3",100,0.61,99.62,0,39.7200263156038,2267856,FALSE,"d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus canis","d__Bacteria","p__Bacillota","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Streptococcus","s__Streptococcus canis","Contig","USA: NY","GCA_000268305.2","none","milk of dairy cows associated with an outbreak of mastitis","na",1329,482234,"facultative anaerobe","facultative"
"RS_GCF_900459215.1",100,0.2,99.13,0.75,42.2304104186096,2431956,FALSE,"d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus criceti","d__Bacteria","p__Bacillota","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Streptococcus","s__Streptococcus criceti","Contig","none","GCA_900459215.1","none","none","representative genome",1333,1333,"facultative anaerobe","facultative"
"RS_GCF_900110405.1",100,0.2,99.62,0.38,41.1642838153539,2125255,FALSE,"d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus equi","d__Bacteria","p__Bacillota","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Streptococcus","s__Streptococcus equi","Contig","none","GCA_900110405.1","none","none","na",1336,1336,"facultative anaerobe","facultative"
"RS_GCF_900459475.1",100,0.29,100,0,41.7538337969656,2109071,FALSE,"d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus equi","d__Bacteria","p__Bacillota","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Streptococcus","s__Streptococcus equi","Contig","none","GCA_900459475.1","none","none","na",1336,40041,"facultative anaerobe","facultative"
"RS_GCF_000187265.1",99.98,0.1,100,0.47,37.2877746441503,1741734,TRUE,"d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus equinus","d__Bacteria","p__Bacillota","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Streptococcus","s__Streptococcus equinus","Scaffold","none","GCA_000187265.1","none","gastrointestinal tract; gut","na",1335,525379,"facultative anaerobe","facultative"
"RS_GCF_000372425.1",100,0.11,99.63,0,42.7403935681404,1847340,TRUE,"d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus ferus","d__Bacteria","p__Bacillota","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Streptococcus","s__Streptococcus ferus","Contig","USA","GCA_000372425.1","none","Mouth of wild rat","na",1345,1123303,"facultative anaerobe","facultative"
"RS_GCF_000258445.1",100,0.21,100,0,37.5803755446905,1910718,FALSE,"d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus intermedius","d__Bacteria","p__Bacillota","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Streptococcus","s__Streptococcus intermedius","Contig","none","GCA_000258445.1","none","biological product [ENVO:02000043]","na",1338,1095731,"facultative anaerobe","facultative"
"RS_GCF_000187995.2",100,0.26,100,0,37.8111461487701,1916985,TRUE,"d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus macacae","d__Bacteria","p__Bacillota","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Streptococcus","s__Streptococcus macacae","Contig","none","GCA_000187995.3","none","none","na",1339,764298,"facultative anaerobe","facultative"
"RS_GCF_000148585.2",99.98,0.01,99.38,0.2,40.4487600347373,1868883,TRUE,"d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus mitis","d__Bacteria","p__Bacillota","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Streptococcus","s__Streptococcus mitis","Complete Genome","none","GCA_000148585.3","none","none","na",28037,246201,"facultative anaerobe","facultative"
"RS_GCF_000347875.1",99.96,0.05,99.19,0,36.8737784641606,1999673,FALSE,"d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus mutans","d__Bacteria","p__Bacillota","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Streptococcus","s__Streptococcus mutans","Contig","none","GCA_000347875.1","none","carious dentine","na",1309,1257041,"facultative anaerobe","facultative"
"RS_GCF_000148565.1",99.98,0.05,99.69,0.2,41.3466482093522,1884712,FALSE,"d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus oralis","d__Bacteria","p__Bacillota","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Streptococcus","s__Streptococcus oralis","Contig","none","GCA_000148565.2","none","none","na",1303,655813,"facultative anaerobe","facultative"
"RS_GCF_001909885.1",100,0.11,99.81,0.21,39.6884429162866,1980889,FALSE,"d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus pneumoniae","d__Bacteria","p__Bacillota","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Streptococcus","s__Streptococcus pneumoniae","Contig","none","GCA_001909885.1","none","none","na",1313,1313,"facultative anaerobe","facultative"
"RS_GCF_001457635.1",100,0.48,99.18,0.63,39.7260403757897,2110968,TRUE,"d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus pneumoniae","d__Bacteria","p__Bacillota","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Streptococcus","s__Streptococcus pneumoniae","Complete Genome","USA","GCA_001457635.1","none","not known","representative genome",1313,1313,"facultative anaerobe","facultative"
"RS_GCF_003966485.1",100,0.14,99.82,0.2,39.6722417183937,2096423,FALSE,"d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus pneumoniae","d__Bacteria","p__Bacillota","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Streptococcus","s__Streptococcus pneumoniae","Complete Genome","none","GCA_003966485.1","none","none","na",1313,1313,"facultative anaerobe","facultative"
"RS_GCF_900475415.1",100,0.1,100,0.38,36.8059552021941,2033046,TRUE,"d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus porcinus","d__Bacteria","p__Bacillota","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Streptococcus","s__Streptococcus porcinus","Complete Genome","none","GCA_900475415.1","none","Lymph nodes","representative genome",1340,1340,"facultative anaerobe","facultative"
"RS_GCF_000743015.1",99.99,0.07,99.82,0,38.4812904142068,1844804,FALSE,"d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus pyogenes","d__Bacteria","p__Bacillota","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Streptococcus","s__Streptococcus pyogenes","Complete Genome","none","GCA_000743015.1","none","none","na",1314,1314,"facultative anaerobe","facultative"
"RS_GCF_000421785.1",99.99,0.53,100,0,38.3339870030026,1858737,FALSE,"d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus pyogenes","d__Bacteria","p__Bacillota","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Streptococcus","s__Streptococcus pyogenes","Contig","none","GCA_000421785.1","none","none","na",1314,1123316,"facultative anaerobe","facultative"
"RS_GCF_000286075.1",100,0.19,100,0.19,40.7903523588797,2062017,TRUE,"d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus ratti","d__Bacteria","p__Bacillota","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Streptococcus","s__Streptococcus ratti","Contig","USA","GCA_000286075.1","none","oral cavity","na",1341,699248,"facultative anaerobe","facultative"
"RS_GCF_000785515.1",99.99,0.01,99.34,0.15,40.1474149616044,2188923,TRUE,"d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus salivarius","d__Bacteria","p__Bacillota","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Streptococcus","s__Streptococcus salivarius","Complete Genome","United Kingdom","GCA_000785515.1","none","Oral cavity","na",1304,1304,"facultative anaerobe","facultative"
"RS_GCF_000194945.1",99.96,0.05,100,0,43.2674394058355,2280483,TRUE,"d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus sanguinis","d__Bacteria","p__Bacillota","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Streptococcus","s__Streptococcus sanguinis","Scaffold","none","GCA_000194945.1","none","biological product [ENVO:02000043]","na",1305,888807,"facultative anaerobe","facultative"
"GB_GCA_000347935.1",96.26,3.03,97,0.09,43.458863478394,2096203,FALSE,"d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus sobrinus","d__Bacteria","p__Bacillota","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Streptococcus","s__Streptococcus sobrinus","Contig","none","GCA_000347935.1","none","dental plaque","na",1310,1123317,"facultative anaerobe","facultative"
"RS_GCF_010120595.1",99.98,0.22,99.89,0.4,39.0187169285743,2102268,TRUE,"d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus thermophilus","d__Bacteria","p__Bacillota","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Streptococcus","s__Streptococcus thermophilus","Complete Genome","USA","GCA_010120595.1","none","none","na",1308,1308,"facultative anaerobe","facultative"
"RS_GCF_900475595.1",99.99,0.03,100,0,36.5890683392041,1975601,TRUE,"d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus uberis","d__Bacteria","p__Bacillota","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Streptococcus","s__Streptococcus uberis","Complete Genome","Austria: Vienna","GCA_900475595.1","none","not available: to be reported later","representative genome",1349,1349,"facultative anaerobe","facultative"
"RS_GCF_001469295.1",100,0.13,100,0,40.484425693081,2164016,FALSE,"d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus gordonii","d__Bacteria","p__Bacillota","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Streptococcus","s__Streptococcus gordonii","Scaffold","USA","GCA_001469295.1","none","blood","na",1302,1302,"facultative anaerobe","facultative"
